trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.035625800024718046,,0.023012900026515126,0.035625800024718046,1.0173180000274442,1.0511412000050768,1.9471675000386313,0,up,1,0.9176900000311434,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
1,0,1,0,1.9671269000391476,,1.9510968000395223,1.9671269000391476,2.9517687000334263,2.9687505000038072,3.5253695999854244,1,up,0,0.5587265000212938,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
2,0,2,0,3.5510440000216477,,3.529609800025355,3.5510440000216477,4.536515099985991,4.552839300013147,5.004358500009403,1,up,0,0.4563320000306703,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
3,0,3,0,5.019384999992326,,5.008486000006087,5.019384999992326,6.018454600009136,6.034918299992569,6.554655099986121,-2,up,0,0.5216581000131555,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
4,0,4,0,6.569564200006425,,6.558292600035202,6.569564200006425,7.569703200017102,7.569703200017102,8.171776100003626,2,down,1,0.584211699955631,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
5,0,5,0,8.186551099992357,,8.175377400009893,8.186551099992357,9.186055199999828,9.186055199999828,9.838571800035425,0,up,1,0.6393690000404604,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
6,0,6,0,9.852585699991323,,9.84331480000401,9.852585699991323,10.853144799999427,10.853144799999427,11.706141100032255,0,up,1,0.8506331999669783,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
7,0,7,0,11.719776900019497,,11.709980899991933,11.719776900019497,12.719740800035652,12.719740800035652,13.422543100023177,-1,up,0,0.7003971000085585,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
8,0,8,0,13.436291899997741,,13.426252000033855,13.436291899997741,14.43634940002812,14.43634940002812,15.138700100011192,0,up,1,0.6962134999921545,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
9,0,9,0,15.152580099995248,,15.142424300021958,15.152580099995248,16.153249400027562,16.153249400027562,16.655999500013422,0,up,1,0.499690999975428,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
10,0,10,0,16.669344299996737,,16.65949540003203,16.669344299996737,17.66949649999151,17.66949649999151,18.25547109998297,-2,up,0,0.575359100010246,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
11,0,11,0,18.26978929998586,,18.25900650001131,18.26978929998586,19.269548300013412,19.269548300013412,19.98888530000113,0,down,0,0.7131395000033081,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
12,0,12,0,20.002715200011153,,19.992691699997522,20.002715200011153,21.003939200018067,21.003939200018067,21.5392118000309,0,up,1,0.5297408000333235,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
13,0,13,0,21.553133000037633,,21.543240300030448,21.553133000037633,22.553699799987953,22.553699799987953,23.189142799994443,-1,up,0,0.6321716000093147,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
14,0,14,0,23.20347370003583,,23.192884200019762,23.20347370003583,24.20302559999982,24.20302559999982,24.654807700018864,0,up,1,0.4471748000360094,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
15,0,15,0,24.669118000019807,,24.658264600031544,24.669118000019807,25.669682800013106,25.669682800013106,26.204317099996842,1,up,0,0.5261839000158943,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
16,0,16,0,26.21972699998878,,26.20795030001318,26.21972699998878,27.21976170002017,27.21976170002017,27.805949600005988,0,up,1,0.5816340000019409,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
17,0,17,0,27.819026399985887,,27.80970059998799,27.819026399985887,28.819641300011426,28.819641300011426,29.606577400001697,-1,up,0,0.7845814000465907,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
18,0,18,0,29.619723899988458,,29.610447200015187,29.619723899988458,30.61935920000542,30.61935920000542,31.755006799998228,4,down,1,1.1280558000435121,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
19,0,19,0,31.76968600001419,,31.758903999987524,31.76968600001419,32.76990310003748,32.76990310003748,33.655081400007475,3,down,1,0.8733044000109658,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
